,pid_0,pid_1,mean
100000,0.712,0.196,0.45399999999999996
200000,0.748,0.306,0.527
300000,0.77,0.408,0.589
400000,0.634,0.464,0.549
500000,0.778,0.442,0.61
600000,0.758,0.484,0.621
700000,0.74,0.622,0.681
800000,0.762,0.464,0.613
900000,0.768,0.502,0.635
1000000,0.748,0.474,0.611
1100000,0.95,0.546,0.748
1200000,0.816,0.474,0.645
1300000,0.784,0.586,0.685
1400000,0.78,0.448,0.614
1500000,0.816,0.43,0.623
1600000,0.946,0.518,0.732
1700000,0.808,0.502,0.655
1800000,0.776,0.552,0.664
1900000,0.812,0.69,0.751
2000000,0.844,0.548,0.696
2100000,0.838,0.554,0.696
2200000,0.844,0.574,0.709
2300000,0.858,0.512,0.685
2400000,0.868,0.564,0.716
2500000,0.868,0.574,0.721
2600000,0.832,0.56,0.696
2700000,0.842,0.548,0.6950000000000001
2800000,0.83,0.528,0.679
2900000,0.994,0.542,0.768
3000000,0.838,0.592,0.715
3100000,0.848,0.534,0.6910000000000001
3200000,0.872,0.55,0.7110000000000001
3300000,0.902,0.58,0.741
3400000,0.89,0.61,0.75
3500000,0.854,0.566,0.71
3600000,0.868,0.642,0.755
3700000,0.894,0.58,0.737
3800000,0.858,0.592,0.725
3900000,0.904,0.598,0.751
4000000,1.0,0.596,0.798
4100000,0.902,0.586,0.744
4200000,0.88,0.64,0.76
4300000,0.884,0.676,0.78
4400000,0.874,0.546,0.71
4500000,0.916,0.594,0.755
4600000,0.922,0.61,0.766
4700000,0.896,0.592,0.744
4800000,1.0,0.598,0.7989999999999999
4900000,0.878,0.572,0.725
5000000,0.884,0.618,0.751
5100000,0.928,0.608,0.768
5200000,0.904,0.634,0.769
5300000,0.9,0.622,0.761
5400000,0.898,0.592,0.745
5500000,0.918,0.578,0.748
5600000,0.91,0.656,0.783
5700000,0.898,0.622,0.76
5800000,0.918,0.596,0.757
5900000,0.928,0.648,0.788
6000000,0.922,0.572,0.747
6100000,0.934,0.582,0.758
6200000,0.924,0.576,0.75
6300000,0.92,0.596,0.758
6400000,0.914,0.588,0.751
6500000,0.904,0.66,0.782
6600000,0.916,0.614,0.765
6700000,0.93,0.596,0.763
6800000,0.938,0.592,0.7649999999999999
6900000,0.94,0.6,0.77
7000000,1.0,0.622,0.8109999999999999
7100000,0.934,0.65,0.792
7200000,0.924,0.744,0.8340000000000001
7300000,0.944,0.598,0.7709999999999999
7400000,0.934,0.652,0.793
7500000,0.908,0.602,0.755
7600000,0.948,0.568,0.758
7700000,0.906,0.65,0.778
7800000,0.934,0.58,0.757
7900000,0.908,0.78,0.8440000000000001
8000000,0.928,0.594,0.761
8100000,0.942,0.642,0.792
8200000,0.932,0.622,0.777
8300000,0.95,0.606,0.778
8400000,0.926,0.634,0.78
8500000,0.922,0.618,0.77
8600000,0.972,0.652,0.812
8700000,0.94,0.654,0.7969999999999999
8800000,0.936,0.638,0.787
8900000,0.934,0.682,0.808
9000000,1.0,0.61,0.8049999999999999
9100000,0.928,0.626,0.777
9200000,1.0,0.662,0.831
9300000,0.946,0.62,0.7829999999999999
9400000,1.0,0.616,0.808
9500000,0.93,0.604,0.767
9600000,0.928,0.602,0.765
9700000,0.93,0.632,0.781
9800000,0.952,0.642,0.7969999999999999
9900000,0.928,0.642,0.785
10000000,0.942,0.606,0.774
