,dqn_sum,dqn_pid_0,dqn_pid_1
1000,-0.56,0.236,-0.796
2000,0.48200000000000004,0.518,-0.036
3000,1.134,0.814,0.32
4000,-0.18999999999999995,0.81,-1.0
5000,1.306,0.882,0.424
6000,-0.04400000000000004,0.956,-1.0
7000,1.412,0.958,0.454
8000,-0.020000000000000018,0.98,-1.0
9000,1.616,1.0,0.616
10000,1.678,0.994,0.684
11000,1.742,1.0,0.742
12000,1.6480000000000001,0.992,0.656
13000,0.0,1.0,-1.0
14000,0.0,1.0,-1.0
15000,1.772,1.0,0.772
16000,1.688,1.0,0.688
17000,1.678,0.964,0.714
18000,1.642,0.998,0.644
19000,1.708,0.976,0.732
20000,1.696,0.956,0.74
21000,1.696,0.996,0.7
22000,1.708,0.98,0.728
23000,1.684,0.976,0.708
24000,1.7,0.98,0.72
25000,1.642,0.944,0.698
26000,1.732,0.964,0.768
27000,1.714,0.954,0.76
28000,1.576,0.97,0.606
29000,1.736,0.966,0.77
30000,1.806,1.0,0.806
31000,1.718,0.98,0.738
32000,1.742,0.994,0.748
33000,1.686,0.916,0.77
34000,1.74,1.0,0.74
35000,1.728,0.992,0.736
36000,1.744,1.0,0.744
37000,1.634,0.962,0.672
38000,1.788,0.982,0.806
39000,1.774,0.984,0.79
40000,1.762,1.0,0.762
41000,1.732,0.964,0.768
42000,1.734,1.0,0.734
43000,-0.01200000000000001,0.988,-1.0
44000,1.744,0.986,0.758
45000,1.702,1.0,0.702
46000,1.784,1.0,0.784
47000,1.822,1.0,0.822
48000,1.744,1.0,0.744
49000,1.802,1.0,0.802
50000,1.794,1.0,0.794
51000,1.792,0.98,0.812
52000,1.796,1.0,0.796
53000,1.818,1.0,0.818
54000,1.786,0.972,0.814
55000,-0.028000000000000025,0.972,-1.0
56000,1.818,1.0,0.818
57000,1.802,1.0,0.802
58000,1.77,1.0,0.77
59000,1.8159999999999998,1.0,0.816
60000,1.768,0.988,0.78
61000,1.782,1.0,0.782
62000,1.81,1.0,0.81
63000,1.812,1.0,0.812
64000,1.808,1.0,0.808
65000,1.776,0.972,0.804
66000,0.0,1.0,-1.0
67000,1.786,0.978,0.808
68000,1.794,1.0,0.794
69000,1.8199999999999998,1.0,0.82
70000,0.0,1.0,-1.0
71000,1.812,1.0,0.812
72000,1.79,1.0,0.79
73000,1.814,1.0,0.814
74000,1.726,0.964,0.762
75000,1.826,1.0,0.826
76000,1.814,1.0,0.814
77000,1.794,1.0,0.794
78000,1.76,1.0,0.76
79000,1.766,1.0,0.766
80000,0.0,1.0,-1.0
81000,1.79,1.0,0.79
82000,1.81,1.0,0.81
83000,1.834,1.0,0.834
84000,1.808,1.0,0.808
85000,1.834,1.0,0.834
