,pid_0,pid_1,mean
100000,0.606,-0.03,0.288
200000,0.659,0.063,0.361
300000,0.686,0.064,0.375
400000,0.616,0.129,0.3725
500000,0.715,0.17,0.4425
600000,0.676,0.213,0.4445
700000,0.709,0.207,0.45799999999999996
800000,0.762,0.27,0.516
900000,0.757,0.212,0.4845
1000000,0.784,0.298,0.541
1100000,0.77,0.258,0.514
1200000,0.761,0.269,0.515
1300000,0.748,0.29,0.519
1400000,0.746,0.296,0.521
1500000,0.731,0.353,0.542
1600000,0.757,0.297,0.527
1700000,0.742,0.282,0.512
1800000,0.869,0.24,0.5545
1900000,0.739,0.194,0.4665
2000000,0.754,0.211,0.4825
2100000,0.756,0.296,0.526
2200000,0.841,0.241,0.5409999999999999
2300000,0.76,0.215,0.4875
2400000,0.732,0.249,0.4905
2500000,0.788,0.249,0.5185
2600000,0.855,0.253,0.554
2700000,0.844,0.208,0.526
2800000,0.771,0.264,0.5175000000000001
2900000,0.787,0.252,0.5195000000000001
3000000,0.782,0.244,0.513
3100000,0.798,0.173,0.48550000000000004
3200000,0.742,0.231,0.4865
3300000,0.792,0.212,0.502
3400000,0.745,0.202,0.47350000000000003
3500000,0.769,0.158,0.4635
3600000,0.767,0.236,0.5015000000000001
3700000,0.795,0.177,0.486
3800000,0.786,0.21,0.498
3900000,0.767,0.186,0.47650000000000003
4000000,0.858,0.199,0.5285
4100000,0.766,0.216,0.491
4200000,0.845,0.188,0.5165
4300000,0.801,0.262,0.5315000000000001
4400000,0.899,0.207,0.553
4500000,0.791,0.279,0.535
4600000,0.765,0.383,0.5740000000000001
4700000,0.786,0.403,0.5945
4800000,0.767,0.266,0.5165
4900000,0.788,0.194,0.491
5000000,0.779,0.28,0.5295000000000001
5100000,0.763,0.198,0.48050000000000004
5200000,0.869,0.185,0.527
5300000,0.789,0.24,0.5145
5400000,0.773,0.211,0.492
5500000,0.792,0.228,0.51
5600000,0.747,0.272,0.5095000000000001
5700000,0.781,0.195,0.488
5800000,0.73,0.237,0.4835
5900000,0.753,0.289,0.521
6000000,0.772,0.22,0.496
6100000,0.775,0.221,0.498
6200000,0.777,0.2,0.48850000000000005
6300000,0.797,0.215,0.506
6400000,0.754,0.216,0.485
6500000,0.735,0.259,0.497
6600000,0.769,0.243,0.506
6700000,0.774,0.262,0.518
6800000,0.769,0.19,0.47950000000000004
6900000,0.749,0.228,0.4885
7000000,0.765,0.22,0.4925
7100000,0.767,0.207,0.487
7200000,0.754,0.2,0.477
7300000,0.762,0.23,0.496
7400000,0.874,0.246,0.56
7500000,0.734,0.213,0.4735
7600000,0.768,0.221,0.4945
7700000,0.753,0.205,0.479
7800000,0.773,0.233,0.503
7900000,0.814,0.226,0.52
8000000,0.777,0.229,0.503
8100000,0.757,0.201,0.479
8200000,0.778,0.198,0.488
8300000,0.785,0.199,0.492
8400000,0.767,0.287,0.527
8500000,0.826,0.193,0.5095
8600000,0.874,0.165,0.5195
8700000,0.776,0.372,0.5740000000000001
8800000,0.762,0.249,0.5055000000000001
8900000,0.81,0.231,0.5205000000000001
9000000,0.782,0.253,0.5175000000000001
9100000,0.807,0.229,0.518
9200000,0.775,0.289,0.532
9300000,0.811,0.221,0.516
9400000,0.808,0.188,0.498
9500000,0.785,0.256,0.5205
9600000,0.815,0.264,0.5395
9700000,0.81,0.202,0.506
9800000,0.755,0.247,0.501
9900000,0.771,0.265,0.518
10000000,0.829,0.266,0.5475
