,dqn_sum,dqn_pid_0,dqn_pid_1
1000,0.21999999999999997,0.172,0.048
2000,0.754,0.649,0.105
3000,0.849,0.751,0.098
4000,0.8440000000000001,0.788,0.056
5000,-0.30700000000000005,0.693,-1.0
6000,0.852,0.739,0.113
7000,0.9229999999999999,0.833,0.09
8000,0.9510000000000001,0.769,0.182
9000,0.978,0.856,0.122
10000,1.0750000000000002,0.811,0.264
11000,1.004,0.777,0.227
12000,1.188,0.857,0.331
13000,1.093,0.855,0.238
14000,1.132,0.84,0.292
15000,1.112,0.79,0.322
16000,1.165,0.88,0.285
17000,1.1320000000000001,0.908,0.224
18000,1.172,0.87,0.302
19000,1.294,0.918,0.376
20000,1.283,0.908,0.375
21000,1.32,0.935,0.385
22000,1.279,0.908,0.371
23000,-0.126,0.874,-1.0
24000,1.346,0.936,0.41
25000,1.296,0.923,0.373
26000,1.3170000000000002,0.923,0.394
27000,1.278,0.921,0.357
28000,1.331,0.926,0.405
29000,1.362,0.918,0.444
30000,1.382,0.947,0.435
31000,1.152,0.816,0.336
32000,1.304,0.932,0.372
33000,1.308,0.892,0.416
34000,-0.5369999999999999,-1.0,0.463
35000,1.374,0.914,0.46
36000,1.22,0.848,0.372
37000,1.294,0.886,0.408
38000,-0.5900000000000001,-1.0,0.41
39000,1.302,0.888,0.414
40000,1.237,0.915,0.322
41000,1.301,0.881,0.42
42000,1.365,0.864,0.501
43000,1.31,0.954,0.356
44000,1.364,0.931,0.433
45000,1.217,0.896,0.321
46000,1.4,0.923,0.477
47000,1.19,0.901,0.289
48000,1.347,0.917,0.43
49000,-0.123,0.877,-1.0
50000,1.408,0.922,0.486
51000,1.3330000000000002,0.93,0.403
52000,1.43,1.0,0.43
53000,1.362,0.932,0.43
54000,1.4180000000000001,0.916,0.502
55000,1.276,0.916,0.36
56000,1.391,0.952,0.439
57000,1.2630000000000001,0.931,0.332
58000,1.3739999999999999,0.944,0.43
59000,1.399,0.945,0.454
60000,1.31,0.929,0.381
61000,1.439,1.0,0.439
62000,1.478,1.0,0.478
63000,1.474,0.946,0.528
64000,1.379,0.92,0.459
65000,1.385,0.916,0.469
66000,-0.09999999999999998,0.9,-1.0
67000,1.442,0.939,0.503
68000,1.428,0.915,0.513
69000,1.383,0.927,0.456
70000,1.448,0.934,0.514
71000,1.4100000000000001,0.935,0.475
72000,1.5,0.931,0.569
73000,1.393,0.923,0.47
74000,1.4689999999999999,0.942,0.527
75000,1.468,0.929,0.539
76000,1.429,0.93,0.499
77000,1.342,0.916,0.426
78000,1.389,0.937,0.452
79000,1.5070000000000001,0.95,0.557
80000,1.5030000000000001,0.931,0.572
81000,-0.46399999999999997,-1.0,0.536
82000,1.387,0.911,0.476
83000,1.439,0.928,0.511
84000,-0.07499999999999996,0.925,-1.0
85000,1.443,0.878,0.565
86000,1.487,0.903,0.584
87000,1.397,0.933,0.464
88000,1.495,0.935,0.56
89000,1.4020000000000001,0.869,0.533
90000,1.496,0.94,0.556
91000,1.4380000000000002,0.898,0.54
92000,1.4769999999999999,0.94,0.537
93000,1.483,0.922,0.561
94000,1.465,0.929,0.536
95000,0.0,1.0,-1.0
96000,-0.07999999999999996,0.92,-1.0
97000,1.461,0.937,0.524
98000,1.494,0.946,0.548
99000,1.4700000000000002,0.934,0.536
100000,1.436,0.917,0.519
101000,1.474,0.942,0.532
102000,-0.06799999999999995,0.932,-1.0
103000,-0.07099999999999995,0.929,-1.0
104000,-0.492,-1.0,0.508
105000,1.388,0.893,0.495
106000,1.412,0.892,0.52
107000,1.4620000000000002,0.929,0.533
108000,-0.06499999999999995,0.935,-1.0
109000,1.4820000000000002,0.935,0.547
110000,-0.482,-1.0,0.518
111000,1.492,0.932,0.56
112000,1.4300000000000002,0.913,0.517
113000,1.467,0.93,0.537
114000,-0.09499999999999997,0.905,-1.0
115000,1.434,0.947,0.487
116000,1.5390000000000001,1.0,0.539
117000,1.376,0.825,0.551
118000,0.0,1.0,-1.0
119000,1.5579999999999998,0.946,0.612
120000,1.504,0.942,0.562
121000,-0.07699999999999996,0.923,-1.0
122000,1.451,0.919,0.532
123000,1.417,0.923,0.494
124000,1.522,0.929,0.593
125000,1.476,0.943,0.533
126000,-0.503,-1.0,0.497
127000,-0.07199999999999995,0.928,-1.0
128000,-0.473,-1.0,0.527
129000,1.437,0.934,0.503
130000,1.4889999999999999,0.94,0.549
131000,1.481,0.923,0.558
132000,1.409,0.935,0.474
133000,1.487,0.951,0.536
134000,1.502,0.935,0.567
135000,-0.49,-1.0,0.51
136000,1.445,0.914,0.531
137000,1.48,0.91,0.57
138000,-0.07099999999999995,0.929,-1.0
139000,1.483,0.928,0.555
140000,1.4649999999999999,0.94,0.525
141000,1.5819999999999999,1.0,0.582
142000,1.597,1.0,0.597
143000,1.488,0.901,0.587
144000,1.4969999999999999,0.927,0.57
145000,-0.122,0.878,-1.0
146000,-0.46799999999999997,-1.0,0.532
147000,1.3980000000000001,0.887,0.511
148000,-0.41700000000000004,-1.0,0.583
149000,1.451,0.905,0.546
150000,-0.07399999999999995,0.926,-1.0
151000,1.467,0.902,0.565
152000,1.447,0.92,0.527
153000,-0.08099999999999996,0.919,-1.0
154000,1.488,0.927,0.561
155000,1.567,1.0,0.567
156000,1.416,0.913,0.503
157000,1.541,0.932,0.609
