,ppo_lr_0.00025_alpha_0.05_pid_1,ppo_lr_0.0001_alpha_0.0625_pid_1,ppo_lr_0.0001_alpha_0.03125_pid_1,ppo_lr_0.0001_alpha_0.125_pid_1,nfsp_pid_1,ppo_lr_0.0001_alpha_0.05_pid_1,ppo_lr_0.00025_alpha_0.0625_pid_1,ppo_lr_0.00025_alpha_0.125_pid_1,ppo_lr_0.0001_alpha_0.015625_pid_1,ppo_lr_0.00025_alpha_0.015625_pid_1,ppo_lr_0.00025_alpha_0.03125_pid_1
100000,-0.607,-0.284,-0.421,-0.401,-0.03,-0.275,-0.396,-0.269,-0.241,-0.348,-0.363
200000,-0.357,-0.351,-0.313,-0.256,0.063,-0.319,-0.235,-0.291,-0.358,-0.244,-0.151
300000,-0.401,-0.309,-0.315,-0.293,0.064,-0.209,-0.36,-0.421,-0.27,-0.085,-0.221
400000,-0.298,-0.138,-0.254,-0.426,0.129,-0.313,-0.386,-0.455,-0.183,-0.293,-0.177
500000,-0.348,-0.186,-0.294,-0.3,0.17,-0.321,-0.42,-0.373,-0.016,-0.277,-0.295
600000,-0.43,-0.279,-0.271,-0.263,0.213,-0.275,-0.365,-0.215,-0.297,-0.325,-0.412
700000,-0.21,-0.248,-0.334,-0.272,0.207,-0.346,-0.318,-0.427,-0.211,-0.238,-0.329
800000,-0.266,-0.225,-0.218,-0.101,0.27,-0.304,-0.42,-0.186,-0.289,-0.364,-0.313
900000,-0.246,-0.353,-0.332,-0.272,0.212,-0.345,-0.269,-0.504,-0.243,-0.322,-0.256
1000000,-0.367,-0.447,-0.355,-0.131,0.298,-0.293,-0.337,-0.422,-0.265,-0.466,-0.353
1100000,-0.367,-0.436,-0.236,-0.209,0.258,-0.263,-0.263,-0.373,-0.353,-0.226,-0.271
1200000,-0.347,-0.269,-0.277,-0.31,0.269,-0.331,-0.259,-0.229,-0.172,-0.25,-0.314
1300000,-0.255,-0.117,-0.458,-0.285,0.29,-0.243,-0.468,-0.121,-0.326,-0.211,-0.358
1400000,-0.316,-0.272,-0.232,-0.063,0.296,-0.294,-0.452,0.168,-0.411,-0.306,-0.274
1500000,-0.372,-0.343,-0.114,-0.164,0.353,-0.45,-0.356,-0.365,-0.409,-0.269,-0.282
1600000,-0.254,-0.312,-0.074,-0.305,0.297,-0.197,-0.357,-0.326,-0.357,-0.353,-0.26
1700000,-0.299,-0.4,-0.173,-0.284,0.282,-0.213,-0.186,-0.324,-0.455,-0.224,-0.367
1800000,-0.206,-0.374,-0.234,-0.32,0.24,-0.416,-0.325,-0.395,-0.323,-0.34,-0.214
1900000,-0.316,-0.174,-0.133,-0.341,0.194,-0.535,-0.189,-0.445,-0.331,-0.244,-0.377
2000000,-0.283,-0.269,-0.108,-0.355,0.211,-0.417,-0.218,-0.324,-0.29,-0.252,-0.299
