,pid_0,pid_1,mean
100000,0.802,-0.126,0.338
200000,0.912,-0.358,0.277
300000,0.854,-0.484,0.185
400000,0.672,-0.224,0.22400000000000003
500000,0.43,-0.338,0.045999999999999985
600000,0.826,0.066,0.44599999999999995
700000,0.934,-0.082,0.42600000000000005
800000,0.916,0.034,0.47500000000000003
900000,0.918,-0.118,0.4
1000000,0.95,0.008,0.479
1100000,0.932,-0.16,0.386
1200000,0.858,-0.04,0.409
1300000,0.952,-0.378,0.287
1400000,0.926,-0.248,0.339
1500000,0.932,-0.102,0.41500000000000004
1600000,0.886,-0.126,0.38
1700000,0.888,-0.034,0.427
1800000,0.9,-0.13,0.385
1900000,0.682,-0.114,0.28400000000000003
2000000,0.878,0.154,0.516
2100000,0.842,-0.26,0.291
2200000,0.876,-0.104,0.386
2300000,0.882,-0.126,0.378
2400000,0.9,-0.092,0.404
2500000,0.872,-0.278,0.297
2600000,0.876,-0.588,0.14400000000000002
2700000,0.95,-0.344,0.303
2800000,0.886,0.05,0.468
2900000,0.918,0.044,0.48100000000000004
3000000,0.88,-0.228,0.326
3100000,0.846,-0.316,0.265
3200000,0.894,-0.394,0.25
3300000,0.874,-0.188,0.34299999999999997
3400000,0.856,-0.226,0.315
3500000,0.816,-0.304,0.256
3600000,0.872,-0.346,0.263
3700000,0.902,-0.308,0.29700000000000004
3800000,0.842,-0.356,0.243
3900000,0.826,-0.28,0.27299999999999996
4000000,0.842,-0.354,0.244
4100000,0.856,-0.254,0.301
4200000,0.834,-0.268,0.283
4300000,0.808,-0.34,0.234
4400000,0.84,-0.338,0.251
4500000,0.84,-0.288,0.276
4600000,0.882,-0.33,0.276
4700000,0.842,-0.384,0.22899999999999998
4800000,0.854,-0.338,0.258
4900000,0.89,-0.336,0.277
5000000,0.886,-0.292,0.29700000000000004
5100000,0.846,-0.324,0.261
5200000,0.844,-0.426,0.209
5300000,0.856,-0.466,0.19499999999999998
5400000,0.848,-0.476,0.186
5500000,0.882,-0.454,0.214
5600000,0.864,-0.438,0.213
5700000,0.866,-0.466,0.19999999999999998
5800000,0.848,-0.312,0.268
5900000,0.812,-0.276,0.268
6000000,0.832,-0.218,0.307
6100000,0.842,-0.13,0.356
6200000,0.884,-0.318,0.28300000000000003
6300000,0.828,-0.208,0.31
6400000,0.786,-0.226,0.28
6500000,0.888,-0.46,0.214
6600000,0.902,-0.416,0.24300000000000002
6700000,0.88,-0.208,0.336
6800000,0.92,0.156,0.538
6900000,0.858,-0.132,0.363
7000000,0.902,-0.324,0.28900000000000003
7100000,0.936,0.13,0.533
7200000,0.94,-0.064,0.43799999999999994
7300000,0.942,-0.012,0.46499999999999997
7400000,0.916,-0.042,0.437
7500000,0.94,-0.086,0.427
7600000,0.93,-0.066,0.43200000000000005
7700000,0.874,0.026,0.45
7800000,0.912,-0.124,0.394
7900000,0.88,-0.122,0.379
8000000,0.884,-0.002,0.441
8100000,0.922,-0.258,0.332
8200000,0.918,-0.298,0.31000000000000005
8300000,0.884,0.042,0.463
8400000,0.894,0.272,0.583
8500000,0.88,0.258,0.569
8600000,0.94,0.096,0.518
8700000,0.868,-0.152,0.358
8800000,0.94,0.106,0.523
8900000,0.928,0.004,0.466
9000000,0.956,0.054,0.505
9100000,0.954,-0.174,0.39
9200000,0.886,-0.308,0.28900000000000003
9300000,0.872,-0.076,0.398
9400000,0.878,0.08,0.479
9500000,0.904,0.008,0.456
9600000,0.9,0.32,0.61
9700000,0.902,0.274,0.5880000000000001
9800000,0.914,0.34,0.627
9900000,0.898,0.384,0.641
10000000,0.928,0.144,0.536
