,pid_0,pid_1,mean
100000,0.707,-0.275,0.21599999999999997
200000,0.71,-0.319,0.19549999999999998
300000,0.748,-0.209,0.2695
400000,0.801,-0.313,0.24400000000000002
500000,0.747,-0.321,0.213
600000,0.476,-0.275,0.10049999999999998
700000,0.441,-0.346,0.047500000000000014
800000,0.32,-0.304,0.008000000000000007
900000,0.509,-0.345,0.08200000000000002
1000000,0.581,-0.293,0.144
1100000,0.523,-0.263,0.13
1200000,0.722,-0.331,0.19549999999999998
1300000,0.491,-0.243,0.124
1400000,0.678,-0.294,0.19200000000000003
1500000,0.605,-0.45,0.07749999999999999
1600000,0.671,-0.197,0.23700000000000002
1700000,0.855,-0.213,0.321
1800000,0.417,-0.416,0.0005000000000000004
1900000,0.473,-0.535,-0.031000000000000028
2000000,0.547,-0.417,0.06500000000000003
2100000,0.659,-0.351,0.15400000000000003
2200000,0.69,-0.454,0.11799999999999997
2300000,0.624,-0.427,0.0985
2400000,0.828,-0.51,0.15899999999999997
2500000,0.627,-0.44,0.0935
2600000,0.731,-0.331,0.19999999999999998
2700000,0.702,-0.423,0.13949999999999999
2800000,0.532,-0.481,0.025500000000000023
2900000,0.582,-0.434,0.07399999999999998
3000000,0.649,-0.373,0.138
3100000,0.733,-0.41,0.1615
3200000,0.699,-0.398,0.15049999999999997
3300000,0.671,-0.446,0.11250000000000002
3400000,0.582,-0.393,0.09449999999999997
3500000,0.588,-0.327,0.13049999999999998
3600000,0.639,-0.362,0.1385
3700000,0.606,-0.291,0.1575
3800000,0.727,-0.4,0.16349999999999998
3900000,0.647,-0.355,0.14600000000000002
4000000,0.628,-0.313,0.1575
4100000,0.707,-0.352,0.1775
4200000,0.74,-0.207,0.2665
4300000,0.676,-0.383,0.14650000000000002
4400000,0.645,-0.379,0.133
4500000,0.743,-0.306,0.2185
4600000,0.778,-0.244,0.267
4700000,0.67,-0.235,0.21750000000000003
4800000,0.741,-0.325,0.208
4900000,0.764,-0.358,0.203
5000000,0.728,-0.369,0.1795
5100000,0.676,-0.314,0.18100000000000002
5200000,0.81,-0.266,0.272
5300000,0.757,-0.3,0.2285
5400000,0.79,-0.327,0.2315
5500000,0.833,-0.391,0.22099999999999997
5600000,0.776,-0.329,0.2235
5700000,0.803,-0.295,0.254
5800000,0.698,-0.3,0.19899999999999998
5900000,0.798,-0.286,0.256
6000000,0.809,-0.28,0.2645
6100000,0.783,-0.311,0.23600000000000002
6200000,0.764,-0.185,0.2895
6300000,0.781,-0.253,0.264
6400000,0.768,-0.356,0.20600000000000002
6500000,0.737,-0.186,0.27549999999999997
6600000,0.797,-0.291,0.253
6700000,0.761,-0.303,0.229
6800000,0.848,-0.321,0.26349999999999996
6900000,0.802,-0.367,0.21750000000000003
7000000,0.806,-0.395,0.20550000000000002
7100000,0.793,-0.371,0.21100000000000002
7200000,0.81,-0.342,0.234
7300000,0.792,-0.455,0.1685
7400000,0.811,-0.307,0.252
7500000,0.779,-0.321,0.229
7600000,0.834,-0.337,0.24849999999999997
7700000,0.814,-0.348,0.23299999999999998
7800000,0.904,-0.377,0.2635
7900000,0.815,-0.344,0.2355
8000000,0.812,-0.273,0.2695
8100000,0.735,-0.397,0.16899999999999998
8200000,0.869,-0.357,0.256
8300000,0.802,-0.344,0.22900000000000004
8400000,0.715,-0.349,0.183
8500000,0.807,-0.293,0.257
8600000,0.764,-0.418,0.17300000000000001
8700000,0.736,-0.269,0.23349999999999999
8800000,0.741,-0.137,0.302
8900000,0.59,-0.1,0.245
9000000,0.703,-0.271,0.21599999999999997
9100000,0.523,-0.384,0.0695
9200000,0.565,-0.378,0.09349999999999997
9300000,0.7,-0.441,0.12949999999999998
9400000,0.694,-0.431,0.13149999999999998
9500000,0.713,-0.288,0.2125
9600000,0.728,-0.317,0.2055
9700000,0.72,-0.377,0.17149999999999999
9800000,0.782,-0.318,0.232
9900000,0.744,-0.339,0.20249999999999999
10000000,0.738,-0.474,0.132
