,ppo_lr_0.00025_alpha_0.05,ppo_lr_0.0001_alpha_0.0625,ppo_lr_0.0001_alpha_0.03125,ppo_lr_0.0001_alpha_0.125,nfsp,ppo_lr_0.0001_alpha_0.05,ppo_lr_0.00025_alpha_0.0625,ppo_lr_0.00025_alpha_0.125,ppo_lr_0.0001_alpha_0.015625,ppo_lr_0.00025_alpha_0.015625,ppo_lr_0.00025_alpha_0.03125
100000,-0.6809999999999999,0.39000000000000007,-0.308,0.012999999999999956,0.576,0.43199999999999994,0.02799999999999997,0.23299999999999998,0.351,0.3390000000000001,0.17200000000000004
200000,-0.16699999999999998,0.29200000000000004,0.313,0.14900000000000002,0.722,0.39099999999999996,0.0020000000000000018,0.04400000000000004,0.238,0.351,0.4149999999999999
300000,0.02699999999999997,0.468,0.331,0.522,0.75,0.539,0.17400000000000004,-0.28,0.34199999999999997,0.608,0.373
400000,0.178,0.536,0.44299999999999995,0.23400000000000004,0.745,0.48800000000000004,0.134,-0.365,0.47600000000000003,0.25200000000000006,0.46
500000,0.345,0.29,0.36100000000000004,0.5249999999999999,0.885,0.426,-0.261,0.137,0.494,0.279,0.431
600000,-0.22699999999999998,0.43699999999999994,0.21399999999999997,0.178,0.889,0.20099999999999996,0.34299999999999997,0.31000000000000005,0.453,0.0020000000000000018,0.02200000000000002
700000,0.491,0.43700000000000006,0.066,0.31199999999999994,0.9159999999999999,0.09500000000000003,0.24999999999999994,-0.416,0.43900000000000006,0.14500000000000002,0.36799999999999994
800000,0.252,0.275,0.40700000000000003,0.726,1.032,0.016000000000000014,0.22700000000000004,0.452,0.334,0.16700000000000004,0.40499999999999997
900000,0.28400000000000003,0.07200000000000001,0.186,-0.009000000000000008,0.969,0.16400000000000003,0.401,-0.068,0.475,0.38199999999999995,0.43899999999999995
1000000,0.32499999999999996,-0.018000000000000016,0.040000000000000036,0.243,1.082,0.288,-0.268,0.198,0.43699999999999994,-0.03600000000000003,0.243
1100000,0.31800000000000006,0.35500000000000004,0.24,0.605,1.028,0.26,0.534,0.33199999999999996,0.357,0.28800000000000003,0.066
1200000,0.243,0.42299999999999993,0.22599999999999998,0.5029999999999999,1.03,0.39099999999999996,0.392,0.3330000000000001,0.48300000000000004,0.484,0.339
1300000,0.237,0.646,0.15499999999999997,0.5349999999999999,1.038,0.248,-0.065,0.326,0.22600000000000003,0.379,0.19400000000000006
1400000,0.21000000000000002,0.41899999999999993,0.378,0.7450000000000001,1.042,0.38400000000000006,0.27699999999999997,0.897,0.039000000000000035,0.26399999999999996,0.45999999999999996
1500000,0.35,0.22999999999999993,0.683,0.473,1.084,0.15499999999999997,0.44000000000000006,0.21799999999999997,0.15200000000000008,0.404,0.425
1600000,0.367,0.302,0.645,0.36600000000000005,1.054,0.47400000000000003,0.273,0.128,0.123,0.22899999999999998,0.369
1700000,0.20600000000000002,0.22699999999999998,0.38700000000000007,0.2,1.024,0.642,0.685,0.36799999999999994,0.014999999999999958,0.24599999999999997,0.351
1800000,0.517,0.32999999999999996,0.219,0.45,1.109,0.0010000000000000009,0.467,0.28400000000000003,0.39099999999999996,0.329,0.509
1900000,0.16899999999999998,0.445,0.356,0.21200000000000002,0.933,-0.062000000000000055,0.49400000000000005,-0.05299999999999999,0.197,0.45899999999999996,0.09399999999999997
2000000,0.335,0.476,0.324,0.252,0.965,0.13000000000000006,0.487,0.36200000000000004,0.48400000000000004,0.43100000000000005,0.47800000000000004
2100000,0.599,0.55,0.137,0.29200000000000004,1.052,0.30800000000000005,0.5579999999999999,0.33799999999999997,0.419,0.21500000000000002,0.283
2200000,0.23799999999999993,0.532,0.29200000000000004,0.33799999999999997,1.0819999999999999,0.23599999999999993,0.5050000000000001,-0.10899999999999999,0.375,0.04299999999999998,0.354
2300000,0.329,0.39399999999999996,0.447,0.48500000000000004,0.975,0.197,0.567,0.40800000000000003,0.47600000000000003,0.45000000000000007,0.29300000000000004
2400000,0.2919999999999999,0.353,0.41500000000000004,0.317,0.981,0.31799999999999995,0.49200000000000005,0.23200000000000004,0.301,0.18200000000000005,0.593
2500000,0.357,0.448,0.42300000000000004,0.401,1.037,0.187,0.401,0.22400000000000003,0.46799999999999997,0.26100000000000007,0.35600000000000004
2600000,0.07800000000000001,0.36600000000000005,0.6499999999999999,0.599,1.108,0.39999999999999997,0.46099999999999997,0.273,0.33099999999999996,0.21400000000000002,0.398
2700000,0.456,0.37200000000000005,0.20400000000000001,0.24300000000000005,1.052,0.27899999999999997,0.42700000000000005,-0.09199999999999997,0.506,0.203,0.25999999999999995
2800000,0.5149999999999999,0.41600000000000004,0.49799999999999994,0.327,1.0350000000000001,0.051000000000000045,0.394,0.07899999999999996,0.601,0.47200000000000003,0.41100000000000003
2900000,0.453,0.31300000000000006,0.563,0.294,1.0390000000000001,0.14799999999999996,0.487,0.39699999999999996,0.545,0.328,0.447
3000000,0.38599999999999995,0.25900000000000006,0.373,0.273,1.026,0.276,0.44300000000000006,0.346,0.5469999999999999,0.32399999999999995,0.39599999999999996
3100000,0.493,0.06800000000000006,0.544,0.25700000000000006,0.9710000000000001,0.323,0.513,0.21899999999999997,0.37,0.51,0.552
3200000,0.34900000000000003,0.53,0.588,0.04899999999999999,0.973,0.30099999999999993,0.43899999999999995,0.497,0.46,0.426,0.466
3300000,0.434,0.235,0.367,0.006000000000000005,1.004,0.22500000000000003,0.5409999999999999,0.06900000000000006,0.516,0.251,0.396
3400000,0.427,0.134,0.554,0.23299999999999998,0.9470000000000001,0.18899999999999995,0.497,0.56,0.296,0.537,0.35800000000000004
3500000,0.462,0.23600000000000004,0.456,0.37,0.927,0.26099999999999995,0.43600000000000005,0.29600000000000004,0.34400000000000003,0.435,0.48599999999999993
3600000,0.30600000000000005,0.22399999999999992,0.41300000000000003,0.14100000000000001,1.0030000000000001,0.277,0.367,0.479,0.5730000000000001,0.274,0.371
3700000,0.364,-0.412,0.5449999999999999,0.40199999999999997,0.972,0.315,0.477,0.3340000000000001,0.544,0.625,0.30900000000000005
3800000,0.303,0.524,0.47900000000000004,0.35,0.996,0.32699999999999996,0.43000000000000005,0.32600000000000007,0.5489999999999999,0.364,0.406
3900000,0.201,0.486,0.42000000000000004,0.372,0.9530000000000001,0.29200000000000004,0.40700000000000003,0.274,0.5980000000000001,0.513,0.413
4000000,0.36700000000000005,0.639,0.38900000000000007,0.394,1.057,0.315,0.488,0.298,0.44400000000000006,0.613,0.442
4100000,0.637,0.5269999999999999,0.43899999999999995,0.271,0.982,0.355,0.47000000000000003,0.622,0.32199999999999995,0.47300000000000003,0.393
4200000,0.634,0.424,0.508,0.359,1.033,0.533,0.513,0.501,0.692,0.551,0.29899999999999993
4300000,0.622,0.6739999999999999,0.417,0.611,1.0630000000000002,0.29300000000000004,0.41500000000000004,0.291,0.5800000000000001,0.49599999999999994,0.43400000000000005
4400000,0.10499999999999998,0.5680000000000001,0.399,0.362,1.106,0.266,0.478,0.4640000000000001,0.36399999999999993,0.423,0.5109999999999999
4500000,0.30500000000000005,0.679,0.601,0.549,1.07,0.437,0.527,0.22199999999999998,0.485,0.369,0.462
